id,created_at,username,text,likes,links
1482370883972788224,2022-01-15 15:15:34+00:00,MathDocMom,"🧠.155 @Nicolascole77 @dickiebush #ship30for30 @therealjohntan 
What if knowing Multiplication Table &amp; a bit of patience are all you need to set your 3rd grader up for years of math success ahead?

Too good to be true?

Not at all. 

I've done it for tons of kids over 17+yrs... https://t.co/MUSyeYKQYI",1,https://twitter.com/twitter/statuses/1482370883972788224
1482369854288052228,2022-01-15 15:11:29+00:00,ShipperShare,"New shipment! A Guide To Edit Your Essays Within Seconds by yoitspradnya. 
""Helps in checking the essay quickly and easily""
Original Tweet: https://t.co/fWEaU15QWU
#ship30for30 https://t.co/Pzii8OqxVo",1,https://twitter.com/twitter/statuses/1482369854288052228
1482369826643447814,2022-01-15 15:11:22+00:00,ShipperShare,"New shipment! Netflix: 3 shows with empowering female characters by SayanaSays. 
""Hungry for that juicy show that you could sink into it and come out a better""
Original Tweet: https://t.co/zYedDh8nF6
#ship30for30 https://t.co/b4nyvvtvcE",0,https://twitter.com/twitter/statuses/1482369826643447814
1482369226887540739,2022-01-15 15:08:59+00:00,SiriAvalur,"My learning for #ship30for30  - A course that teaches you the fundamental of online writing.

//Thread//👇

1. Helped me overcome the imposter in me.",0,https://twitter.com/twitter/statuses/1482369226887540739
1482368534994989056,2022-01-15 15:06:14+00:00,ShipperShare,"New shipment! Start Lifting Heavy Weights If You're Only A Runner - Otherwise, You Won't Optimize Your Fat Loss by AlexTBNielsen. 
""The harsh truth every runner should know.""
Original Tweet: https://t.co/6qK3taCwlF
#ship30for30 https://t.co/d0AXRI1x57",0,https://twitter.com/twitter/statuses/1482368534994989056
1482367873452490755,2022-01-15 15:03:36+00:00,BotTweet100,"RT @NotableFounder: Have you ever considered the level of indulgence in your decisions? 

#tweet100 #ship30for30

We go through life with i…",0,https://twitter.com/twitter/statuses/1482367873452490755
1482367491854770178,2022-01-15 15:02:05+00:00,NotableFounder,"Have you ever considered the level of indulgence in your decisions? 

#tweet100 #ship30for30

We go through life with indecision.

What should we eat, What to wear today, what should we watch?",1,https://twitter.com/twitter/statuses/1482367491854770178
1482367477053014019,2022-01-15 15:02:02+00:00,ShipperShare,"New shipment! The Language of The Lightbulbs (LB1) by BillyBroas. 
""When you learn the language, you can speak to your customers like nobody else.""
Original Tweet: https://t.co/wx7Ythua9p
#ship30for30 https://t.co/Qz5aqcsTDA",0,https://twitter.com/twitter/statuses/1482367477053014019
1482367462821744642,2022-01-15 15:01:58+00:00,ShipperShare,"New shipment! New creators, don't start a newsletter by MeetKevon. 
""Writing a newsletter is hard. Here are 3 ways to do it right.""
Original Tweet: https://t.co/f04cR1Ptbk
#ship30for30 https://t.co/5z0MWyPMlu",1,https://twitter.com/twitter/statuses/1482367462821744642
1482367381125148677,2022-01-15 15:01:39+00:00,lifelikeanocean,"Day 8: The Thinker🌊💫

Writing prompt: At the museum
Choose three display pieces, one as the title and the other two within your story.

Rodin museum, Paris
The Thinker by Rodin, Hylas and the nymphs by A. Falguière, Meditaion or the inner voice by Rodin
#ship30for30 https://t.co/Ocq1a7IduD",1,https://twitter.com/twitter/statuses/1482367381125148677
